Application_ID,Office_ID,Location,Certificate_Type,No_of_Staff,Average_Processing_Time_Mins,Applications_Received_This_Month,Applications_Processed_This_Month,Pending_Applications,Office_Working_Hours_Per_Week
APP_1,OFC_861,Warangal,Domicile Certificate,19,45.25966679962728,217,118,99,58
APP_2,OFC_662,Muzaffarpur,Caste Certificate,6,44.70993247467536,252,231,21,59
APP_3,OFC_857,Ujjain,Domicile Certificate,31,38.65190920973088,967,904,63,39
APP_4,OFC_819,Imphal,Income Certificate,11,14.378826802801036,170,79,91,36
APP_5,OFC_206,Patiala,Caste Certificate,21,19.23289898800093,585,493,92,37
APP_6,OFC_730,Gwalior,Death Certificate,48,56.6724417860304,1477,1416,61,59
APP_7,OFC_720,Nizamabad,Income Certificate,49,19.924196747564277,4214,4186,28,50
APP_8,OFC_65,Pune,Income Certificate,29,59.27878151302845,469,462,7,53
APP_9,OFC_289,Tawang,Caste Certificate,9,55.94654831823419,138,51,87,55
APP_10,OFC_684,Kullu,Caste Certificate,44,20.109698614453528,1323,1234,89,32
APP_11,OFC_871,Mayabunder,Marriage Certificate,31,33.75030561600967,1693,1642,51,44
APP_12,OFC_734,Lucknow,Domicile Certificate,41,18.71107260318812,1082,997,85,42
APP_13,OFC_682,Tezpur,Death Certificate,49,21.25985272107427,3459,3385,74,50
APP_14,OFC_348,Junagadh,Death Certificate,29,22.49019112345251,2003,2001,2,30
APP_15,OFC_649,Sagar,Caste Certificate,41,43.08398180896487,1417,1366,51,39
APP_16,OFC_497,Nagpur,Marriage Certificate,16,18.848026270395028,429,428,1,31
APP_17,OFC_566,Howrah,Domicile Certificate,27,20.325555533013627,1392,1323,69,30
APP_18,OFC_439,Srinagar,Domicile Certificate,15,25.33099508337725,281,271,10,46
APP_19,OFC_201,Malda,Birth Certificate,10,43.269704373498506,292,274,18,32
APP_20,OFC_489,Bhagalpur,Domicile Certificate,37,26.866461159813728,1279,1181,98,36
APP_21,OFC_144,Gulbarga,Domicile Certificate,30,59.01925888311896,257,221,36,49
APP_22,OFC_9,Begusarai,Caste Certificate,45,24.20652660369635,2586,2512,74,45
APP_23,OFC_422,Dibrugarh,Domicile Certificate,44,38.35359828127745,1472,1391,81,32
APP_24,OFC_163,Mokokchung,Marriage Certificate,20,59.695160443595135,135,128,7,33
APP_25,OFC_401,West Delhi,Caste Certificate,37,34.83971268051946,1279,1229,50,56
APP_26,OFC_27,Kota,Caste Certificate,38,24.254312423207164,415,397,18,30
APP_27,OFC_192,Vadodara,Caste Certificate,21,59.70027809385376,530,434,96,59
APP_28,OFC_981,Rajkot,Income Certificate,36,51.812516933427126,1099,1054,45,32
APP_29,OFC_288,Kailashahar,Death Certificate,26,24.72557297128901,1964,1917,47,56
APP_30,OFC_682,Agartala,Income Certificate,30,49.55623670735494,636,617,19,54
APP_31,OFC_400,Ludhiana,Marriage Certificate,18,53.95029379996615,670,620,50,52
APP_32,OFC_575,Giridih,Death Certificate,26,37.49582933129559,1979,1920,59,51
APP_33,OFC_103,Sikar,Income Certificate,8,51.311269125658974,417,388,29,49
APP_34,OFC_120,Kanpur,Birth Certificate,23,29.143428138809988,1153,1142,11,52
APP_35,OFC_634,Kohima,Death Certificate,5,29.329372635210746,328,260,68,59
APP_36,OFC_247,Ahmedabad,Income Certificate,7,18.625204422563662,476,415,61,45
APP_37,OFC_474,Mangan,Death Certificate,25,31.040947392931116,1328,1229,99,30
APP_38,OFC_223,Dehradun,Domicile Certificate,14,39.422295364283,1075,996,79,55
APP_39,OFC_497,Churachandpur,Death Certificate,32,37.21765697004048,1309,1249,60,56
APP_40,OFC_613,Gaya,Caste Certificate,16,26.235645079042584,248,203,45,30
APP_41,OFC_754,Dhanbad,Caste Certificate,39,23.51048181887996,4008,4002,6,55
APP_42,OFC_501,Lunglei,Death Certificate,49,56.5156483520639,1532,1460,72,53
APP_43,OFC_689,Darjeeling,Caste Certificate,39,27.693972230128452,3448,3437,11,47
APP_44,OFC_279,Manali,Income Certificate,29,18.102988382218868,2019,1961,58,59
APP_45,OFC_612,Arrah,Birth Certificate,16,57.71978232857591,540,458,82,48
APP_46,OFC_69,Ramgarh,Income Certificate,39,38.13425092456154,1725,1673,52,49
APP_47,OFC_935,Ratlam,Death Certificate,18,35.22408852780545,429,423,6,34
APP_48,OFC_168,Hyderabad,Income Certificate,46,26.81583810748385,2371,2283,88,56
APP_49,OFC_70,Tumkur,Domicile Certificate,35,31.491684338026342,804,738,66,41
APP_50,OFC_754,Ghaziabad,Income Certificate,32,36.43101638627559,1133,1057,76,49
APP_51,OFC_191,Amini,Birth Certificate,29,52.77295205042032,990,906,84,35
APP_52,OFC_229,Alwar,Domicile Certificate,40,35.46198564207265,2303,2303,0,49
APP_53,OFC_259,Bardhaman,Marriage Certificate,20,45.540538821366056,239,148,91,40
APP_54,OFC_648,New Delhi,Death Certificate,32,9.275405033074165,3445,3362,83,38
APP_55,OFC_909,Tirunelveli,Income Certificate,39,50.23954836077429,810,781,29,47
APP_56,OFC_877,Bilaspur,Caste Certificate,9,6.45018359734886,1194,1169,25,30
APP_57,OFC_854,Haridwar,Birth Certificate,31,36.29948080411612,1279,1274,5,30
APP_58,OFC_870,Central Delhi,Income Certificate,7,35.54874380814451,277,205,72,34
APP_59,OFC_685,Baramulla,Caste Certificate,17,16.397520695443106,1737,1712,25,30
APP_60,OFC_438,Margao,Death Certificate,7,33.60899256115964,347,325,22,41
APP_61,OFC_853,Aizawl,Income Certificate,18,43.724387245457294,883,802,81,48
APP_62,OFC_435,Gangtok,Caste Certificate,38,24.15405068628152,1936,1856,80,35
APP_63,OFC_900,Mapusa,Income Certificate,14,55.96231938388219,550,508,42,39
APP_64,OFC_883,Mohali,Caste Certificate,27,12.042521142677485,4694,4628,66,40
APP_65,OFC_93,Bathinda,Caste Certificate,36,14.47759291608964,5635,5614,21,55
APP_66,OFC_233,Jalandhar,Income Certificate,16,16.348354512318586,1619,1573,46,31
APP_67,OFC_239,Kashipur,Marriage Certificate,34,13.633772549390654,1122,1071,51,45
APP_68,OFC_526,Vellore,Marriage Certificate,30,46.79754749156721,423,406,17,43
APP_69,OFC_883,Siliguri,Caste Certificate,19,10.767804159286449,2311,2295,16,52
APP_70,OFC_25,Ajmer,Domicile Certificate,8,24.530736680361763,200,193,7,38
APP_71,OFC_554,Minicoy,Caste Certificate,45,23.55957586295549,1136,1104,32,49
APP_72,OFC_710,Dharamshala,Income Certificate,10,18.527675061147946,745,652,93,33
APP_73,OFC_194,Varanasi,Birth Certificate,19,34.42702026247008,1450,1432,18,55
APP_74,OFC_532,Bhilwara,Birth Certificate,16,11.316025360656194,2089,2013,76,55
APP_75,OFC_902,Tuensang,Birth Certificate,14,35.17317148659843,316,242,74,39
APP_76,OFC_606,Havelock,Caste Certificate,35,56.12410293363042,1141,1078,63,59
APP_77,OFC_840,Diglipur,Income Certificate,15,48.73970215229396,323,246,77,43
APP_78,OFC_601,Anantnag,Domicile Certificate,49,37.35686716872812,3474,3437,37,47
APP_79,OFC_665,Kolhapur,Birth Certificate,21,54.47660153010126,1078,1028,50,52
APP_80,OFC_15,Nanded,Domicile Certificate,33,32.248299452218106,2901,2875,26,59
APP_81,OFC_196,Jaipur,Marriage Certificate,26,44.27352452229878,575,476,99,34
APP_82,OFC_696,Purnia,Domicile Certificate,19,48.85124511787545,197,162,35,34
APP_83,OFC_811,Bhopal,Death Certificate,31,24.01327964271557,2156,2067,89,40
APP_84,OFC_616,Bhavnagar,Income Certificate,22,38.62998294890563,826,822,4,44
APP_85,OFC_604,Mahbubnagar,Death Certificate,35,38.36932755105708,1941,1855,86,51
APP_86,OFC_567,Darbhanga,Marriage Certificate,44,38.43419165868423,770,730,40,44
APP_87,OFC_537,Thane,Domicile Certificate,30,55.59205890270183,312,254,58,31
APP_88,OFC_182,Kolkata,Caste Certificate,28,36.76975747503509,1226,1205,21,49
APP_89,OFC_882,Leh,Domicile Certificate,25,33.334552532374694,1448,1388,60,46
APP_90,OFC_736,Durgapur,Birth Certificate,17,26.852496350167883,563,519,44,48
APP_91,OFC_18,Chennai,Caste Certificate,5,47.65401891822558,281,231,50,44
APP_92,OFC_264,Amritsar,Birth Certificate,33,9.152685009213908,5208,5122,86,32
APP_93,OFC_800,Tiruchirapalli,Domicile Certificate,11,41.24081680505832,241,170,71,30
APP_94,OFC_239,Shimla,Birth Certificate,41,14.819956412988349,1246,1215,31,30
APP_95,OFC_491,Jamnagar,Marriage Certificate,20,26.845094129015017,1437,1364,73,34
APP_96,OFC_151,Amravati,Birth Certificate,25,6.4592712130600844,2146,2078,68,58
APP_97,OFC_386,Mumbai,Death Certificate,7,37.466221838314425,266,214,52,41
APP_98,OFC_714,Nongpoh,Birth Certificate,34,31.80871590372325,1036,1028,8,43
APP_99,OFC_237,Hazaribagh,Death Certificate,29,19.183822698826127,2026,1929,97,51
APP_100,OFC_75,Thoothukudi,Income Certificate,10,55.28643436082744,409,334,75,50
APP_101,OFC_874,North Delhi,Income Certificate,26,12.5287096537844,4687,4635,52,54
APP_102,OFC_922,Shimoga,Birth Certificate,25,26.07261905372236,1882,1830,52,55
APP_103,OFC_794,Khammam,Caste Certificate,33,26.41125877230871,1256,1203,53,37
APP_104,OFC_406,Naharlagun,Marriage Certificate,9,31.6065218062827,502,441,61,55
APP_105,OFC_450,Bikaner,Death Certificate,13,9.132577995469482,487,453,34,46
APP_106,OFC_229,Ranchi,Death Certificate,48,43.20830589699347,3129,3081,48,59
APP_107,OFC_569,South Delhi,Death Certificate,16,34.8045521058097,363,284,79,53
APP_108,OFC_466,Medinipur,Birth Certificate,29,40.56657055144399,1390,1306,84,56
APP_109,OFC_391,Port Blair,Death Certificate,18,11.628741833255544,1865,1827,38,36
APP_110,OFC_526,Geyzing,Birth Certificate,35,25.058348720151823,2043,1989,54,41
APP_111,OFC_516,Tura,Birth Certificate,33,41.39103462942978,767,713,54,42
APP_112,OFC_546,Mandi,Death Certificate,34,5.013063796673652,12718,12662,56,42
APP_113,OFC_239,Pathankot,Domicile Certificate,14,10.043463431128655,2870,2853,17,36
APP_114,OFC_432,Hubli,Birth Certificate,5,55.06865061316439,89,53,36,44
APP_115,OFC_939,Dharmanagar,Income Certificate,10,59.02817832940449,225,133,92,43
APP_116,OFC_885,Erode,Marriage Certificate,49,11.618631911924776,6465,6460,5,40
APP_117,OFC_54,Nainital,Income Certificate,27,53.608223672988416,835,754,81,32
APP_118,OFC_216,Anand,Birth Certificate,7,49.87082187448398,304,276,28,35
APP_119,OFC_921,Agatti,Caste Certificate,38,52.417018949599786,567,489,78,38
APP_120,OFC_901,Udaipur,Caste Certificate,30,34.293138567041915,1192,1153,39,34
APP_121,OFC_349,Meerut,Marriage Certificate,7,24.129506434620616,330,251,79,31
APP_122,OFC_353,Deoghar,Domicile Certificate,45,23.370488330988085,2146,2140,6,42
APP_123,OFC_557,Surat,Caste Certificate,35,50.419921281061946,1131,1130,1,39
APP_124,OFC_989,Kathua,Income Certificate,16,5.351222944425847,3563,3504,59,42
APP_125,OFC_467,Gorakhpur,Marriage Certificate,34,6.013524530601961,4238,4146,92,38
APP_126,OFC_916,Gandhinagar,Domicile Certificate,36,47.39697596975444,439,375,64,33
APP_127,OFC_120,Belgaum,Death Certificate,22,52.9345243383807,714,708,6,44
APP_128,OFC_33,Jammu,Caste Certificate,10,25.450844108129854,545,507,38,48
APP_129,OFC_157,Davanagere,Income Certificate,15,17.14232870338182,1015,960,55,31
APP_130,OFC_21,Asansol,Income Certificate,20,52.15480506508742,382,322,60,49
APP_131,OFC_793,Mangalore,Birth Certificate,28,25.268948904806862,2210,2118,92,44
APP_132,OFC_686,Jamshedpur,Caste Certificate,11,39.44211768972784,361,337,24,41
APP_133,OFC_455,Udhampur,Marriage Certificate,21,38.40185465444692,1015,1014,1,49
APP_134,OFC_64,Roorkee,Caste Certificate,17,13.226935346716116,1059,1028,31,50
APP_135,OFC_729,Adilabad,Income Certificate,37,57.39567509212944,207,162,45,38
APP_136,OFC_86,Guwahati,Marriage Certificate,32,43.63557337992572,630,554,76,39
APP_137,OFC_918,Pasighat,Death Certificate,43,12.29936647236832,2772,2729,43,36
APP_138,OFC_9,Aurangabad,Marriage Certificate,10,38.91325200243608,370,309,61,38
APP_139,OFC_383,Panaji,Caste Certificate,11,41.34510650645879,510,470,40,45
APP_140,OFC_14,Satna,Death Certificate,15,44.8654607930732,760,706,54,41
APP_141,OFC_812,Madurai,Caste Certificate,22,6.147362661034595,6727,6635,92,48
APP_142,OFC_903,Vasco da Gama,Birth Certificate,16,14.580633511803953,2295,2276,19,50
APP_143,OFC_689,Dimapur,Death Certificate,36,37.34321079495436,1821,1816,5,55
APP_144,OFC_755,Delhi,Death Certificate,16,26.1115933527288,1167,1074,93,47
APP_145,OFC_940,Rudrapur,Death Certificate,18,58.42673017229018,582,569,13,52
APP_146,OFC_84,Indore,Birth Certificate,6,10.239382937504445,1094,1039,55,46
APP_147,OFC_919,Allahabad,Income Certificate,35,17.982775484055516,2926,2926,0,32
APP_148,OFC_776,Haldwani,Domicile Certificate,47,57.17208451682885,211,168,43,54
APP_149,OFC_620,Patna,Marriage Certificate,24,19.83622863343443,2034,1976,58,31
APP_150,OFC_691,Champhai,Birth Certificate,18,42.85143262266275,817,723,94,49
APP_151,OFC_178,Jorhat,Caste Certificate,27,41.67753416503574,1169,1085,84,49
APP_152,OFC_352,Itanagar,Income Certificate,42,52.7478239907628,1348,1323,25,51
APP_153,OFC_588,Shillong,Birth Certificate,31,56.202178252883776,596,549,47,43
APP_154,OFC_602,Solan,Birth Certificate,32,13.760809488354283,2972,2898,74,35
APP_155,OFC_102,Jowai,Income Certificate,8,41.71763620599716,246,246,0,35
APP_156,OFC_655,Namchi,Income Certificate,5,25.15538441792688,301,206,95,36
APP_157,OFC_102,Bishnupur,Domicile Certificate,30,37.288393923563305,266,241,25,37
APP_158,OFC_154,Rewa,Income Certificate,29,25.91075903322214,1786,1700,86,31
APP_159,OFC_336,Agra,Caste Certificate,19,18.39152631169646,504,427,77,40
APP_160,OFC_539,Bangalore,Marriage Certificate,33,49.166424380796485,301,225,76,32
