Application_ID,Office_ID,Location,Certificate_Type,No_of_Staff,Average_Processing_Time_Mins,Applications_Received_This_Month,Applications_Processed_This_Month,Pending_Applications,Office_Working_Hours_Per_Week
c641c451-75f1-4458-a9e6-3aec8f1a5d09,OFC6994,Kota,Marriage Certificate,48,68,839,769,70,45
be05837c-e6d0-4b99-a575-8f314fba9216,OFC4422,Jowai,Death Certificate,17,155,852,650,202,40
71fe7c42-24db-48d8-a3dc-d390f83b02f9,OFC4536,Thoothukudi,Domicile Certificate,24,135,762,210,552,45
944b8714-0f05-4e18-8e0f-697b30176f5d,OFC1721,Sikar,Birth Certificate,11,159,431,427,4,40
55b0c1f1-1832-4bfc-90c1-6d68c83db260,OFC3588,Gandhinagar,Income Certificate,16,99,228,214,14,40
e936b318-6cb9-4650-bffc-9387ded746e1,OFC4778,Purnia,Birth Certificate,17,31,129,59,70,40
c3b6794a-1936-492c-93e3-5ac64189ef5c,OFC3085,New Delhi,Domicile Certificate,9,95,92,64,28,48
b4860c3d-49d3-4337-8e66-019a5798f823,OFC7152,Vasco da Gama,Death Certificate,10,71,879,713,166,40
9ff6cf56-d19a-444b-8337-b15721d6259a,OFC8770,Pasighat,Marriage Certificate,8,129,193,137,56,35
466c70b4-5f18-4966-9028-e9dcff51f512,OFC8411,Bikaner,Marriage Certificate,5,50,750,491,259,40
3558d4d2-ac66-4fd2-a34c-7fee8cf5bafb,OFC1075,Allahabad,Caste Certificate,39,167,259,242,17,48
a6bb71af-2e92-4002-b8fe-f3c2682917ae,OFC5244,Mangan,Death Certificate,12,133,763,398,365,35
a74f2b2c-51b7-4a1b-b8a7-4706b23dc784,OFC3445,Hyderabad,Death Certificate,29,64,622,449,173,45
9added4c-909c-4155-a43b-2de7261aa14f,OFC1575,Ghaziabad,Death Certificate,8,34,270,193,77,35
6ab25329-e013-44a0-a8c1-5fa086070efb,OFC9758,South Delhi,Death Certificate,17,89,84,51,33,35
350a7ab7-7090-4dbe-b1ff-b6b2c0c7c85a,OFC2667,Dibrugarh,Domicile Certificate,43,15,384,161,223,35
df73b65b-b169-443d-8567-b4be700cccaf,OFC4592,Muzaffarpur,Income Certificate,48,135,472,69,403,35
5db5805a-6d57-47f4-8c0e-f05254b81db2,OFC4177,Hubli,Income Certificate,48,38,407,166,241,40
b1d1a025-d9b3-4c14-80a6-007bb8d2e9d2,OFC4034,Tuensang,Domicile Certificate,18,95,458,328,130,48
619fe718-b480-4996-ae5d-daa2fba91111,OFC1144,Coimbatore,Income Certificate,38,95,193,95,98,45
f17afc94-a827-49a3-95ce-4e30b7e819d0,OFC2564,Mandi,Income Certificate,19,24,292,184,108,40
56f6f375-78e1-4b0a-94aa-8c9bc35fc169,OFC7882,Vasco da Gama,Domicile Certificate,32,68,63,40,23,48
41134c27-a663-45cf-88ea-81cd46e41f8f,OFC4651,North Delhi,Income Certificate,50,43,606,406,200,35
e7b28f69-17cd-4c70-9976-4fcc5c2fb450,OFC4994,Minicoy,Domicile Certificate,14,135,358,69,289,35
a2fde3b6-39ae-4a7c-84b5-d1c32744946c,OFC8595,Vadodara,Birth Certificate,24,124,516,182,334,40
6d518162-607f-4a15-9f7d-3faf6cdd8fcc,OFC1469,Indore,Domicile Certificate,10,90,244,33,211,48
fbfa505d-7bdc-44b7-9e56-a53319a1793d,OFC3353,Gorakhpur,Birth Certificate,15,28,347,316,31,48
b5bb8aa2-e3f8-4269-9f64-d8ec0f60fedb,OFC2592,Havelock,Caste Certificate,8,71,755,729,26,40
0b541848-ef57-456f-9a23-db9898e570c1,OFC6028,Jowai,Caste Certificate,33,75,646,185,461,40
4e190596-4383-4310-8308-d6adacadee04,OFC3887,Rajkot,Death Certificate,32,138,590,135,455,48
93aeee35-8f3a-455c-9226-75302c6e9e2a,OFC4692,Pune,Caste Certificate,18,119,663,520,143,48
c323a7b6-a7ca-40ea-86fa-0463c3fd7448,OFC8886,Mahbubnagar,Marriage Certificate,18,79,348,181,167,40
7504cbd9-a9f0-4478-ae59-161ebb2dcc45,OFC6330,Darbhanga,Marriage Certificate,7,163,162,72,90,48
dfe6b267-a3de-4cae-9bcb-347cbd7f0746,OFC6233,Davanagere,Caste Certificate,48,80,462,219,243,35
7b152a6b-0279-4059-8448-cab11703300e,OFC5746,Naharlagun,Caste Certificate,40,161,442,422,20,40
07235ace-3928-426c-85d4-0ab977341cf1,OFC7795,Bareilly,Caste Certificate,33,131,162,150,12,45
c988f689-7e6d-4004-a5df-7270e2095d41,OFC5812,Tuensang,Death Certificate,12,17,278,145,133,40
7536f8ac-c8fb-4e08-a82d-3a4dd5ca24cf,OFC1212,Udaipur,Caste Certificate,49,103,976,969,7,45
e82035d0-9252-4e62-ae2f-ccb12a084327,OFC7572,Gulbarga,Death Certificate,50,52,116,116,0,45
05be1cfc-7e1a-48ba-8649-027ff3e8373a,OFC2612,Kullu,Caste Certificate,21,70,776,756,20,40
b7b77669-53f8-4f45-8aaf-3d5cd98ffd7c,OFC2211,Gwalior,Domicile Certificate,9,114,552,52,500,45
5e7a0dda-d077-41c0-9864-4fd7aa259607,OFC7463,Siliguri,Income Certificate,40,31,756,205,551,45
b4794204-ea4c-42f3-8efc-1ae625efdbd0,OFC5708,Kolkata,Income Certificate,5,89,176,167,9,40
6a23b42f-f54c-429d-b3b6-b5967fdc711a,OFC6431,Adilabad,Income Certificate,33,73,526,498,28,48
04d689e8-d9d1-4e03-805b-1d2a7b29dc25,OFC4812,Jorhat,Caste Certificate,26,120,941,248,693,48
c4328d46-88b9-4869-87a9-69ecf4a2ffa2,OFC5006,Bokaro,Domicile Certificate,19,171,598,144,454,35
a10da0c8-a595-4f99-8367-a0fb16cfa89b,OFC5105,Hubli,Domicile Certificate,32,53,156,141,15,35
61ce7d37-142f-4aaf-986a-2df1c303a188,OFC2744,Jaipur,Income Certificate,15,49,366,122,244,35
9b09dbec-03cc-40dc-8273-9614f3fe3187,OFC1342,Dimapur,Domicile Certificate,32,138,475,247,228,40
